key,value
ISO3,CHE
HDR Country Name,Switzerland
Human Development Groups,Very High
UNDP Developeing Regions,
"Life Expectancy at Birth, male (years) (2013)",80.509
"Life Expectancy at Birth, male (years) (2014)",80.92
"Life Expectancy at Birth, male (years) (2015)",80.695
"Life Expectancy at Birth, male (years) (2016)",81.525
"Life Expectancy at Birth, male (years) (2017)",81.365
"Life Expectancy at Birth, male (years) (2018)",81.641
"Life Expectancy at Birth, male (years) (2019)",81.897
"Life Expectancy at Birth, male (years) (2020)",80.996
"Life Expectancy at Birth, male (years) (2021)",81.621
"Life Expectancy at Birth, male (years) (2022)",80.998
"Life Expectancy at Birth, male (years) (2023)",82.009
"Expected Years of Schooling, male (years) (1990)",14.06952
"Expected Years of Schooling, male (years) (1991)",14.17208958
"Expected Years of Schooling, male (years) (1992)",14.36063957
"Expected Years of Schooling, male (years) (1993)",14.79522991
"Expected Years of Schooling, male (years) (1994)",14.8919096
"Expected Years of Schooling, male (years) (1995)",15.02375031
"Expected Years of Schooling, male (years) (1996)",15.07750034
"Expected Years of Schooling, male (years) (1997)",15.23865032
"Expected Years of Schooling, male (years) (1998)",15.3998003
"Expected Years of Schooling, male (years) (1999)",15.41431999
"Expected Years of Schooling, male (years) (2000)",15.39361
"Expected Years of Schooling, male (years) (2001)",15.39630032
"Expected Years of Schooling, male (years) (2002)",15.30002022
"Expected Years of Schooling, male (years) (2003)",15.41277027
"Expected Years of Schooling, male (years) (2004)",15.46988964
"Expected Years of Schooling, male (years) (2005)",15.47904015
"Expected Years of Schooling, male (years) (2006)",15.54144955
"Expected Years of Schooling, male (years) (2007)",15.61935997
"Expected Years of Schooling, male (years) (2008)",15.62967014
"Expected Years of Schooling, male (years) (2009)",15.61907959
"Expected Years of Schooling, male (years) (2010)",15.77602005
"Expected Years of Schooling, male (years) (2011)",15.78785038
"Expected Years of Schooling, male (years) (2012)",15.93212032
"Expected Years of Schooling, male (years) (2013)",16.07949066
"Expected Years of Schooling, male (years) (2014)",16.13985538
"Expected Years of Schooling, male (years) (2015)",16.20022011
